user_id,timestamp,action,off_hours
U101,2025-07-22,vpn,1
U101,2025-07-06,db_access,0
U101,2025-07-07,logout,1
U102,2025-07-08,logout,0
U102,2025-07-13,vpn,1
U103,2025-07-18,file_download,1
U103,2025-07-27,logout,1
U104,2025-07-14,vpn,1
U104,2025-07-14,file_download,0
U104,2025-07-19,vpn,1
U104,2025-07-06,vpn,1
U104,2025-07-15,db_access,1
U105,2025-07-16,db_access,1
U105,2025-07-20,login,1
U106,2025-07-26,logout,1
U106,2025-07-12,vpn,1
U107,2025-07-20,login,0
U107,2025-07-20,file_download,1
U107,2025-07-25,logout,1
U107,2025-07-26,login,1
U108,2025-07-03,logout,0
U108,2025-07-20,login,0
U108,2025-07-24,file_download,0
U109,2025-07-15,logout,1
U109,2025-07-21,file_download,0
U109,2025-07-30,login,1
U110,2025-07-26,vpn,1
U110,2025-07-22,login,0
U110,2025-07-08,db_access,0
U110,2025-07-13,login,1
U111,2025-07-20,db_access,1
U111,2025-07-16,login,1
U112,2025-07-13,file_download,1
U112,2025-07-06,db_access,0
U112,2025-07-10,db_access,1
U112,2025-07-04,db_access,1
U112,2025-07-29,logout,1
U113,2025-07-22,login,1
U113,2025-07-05,db_access,0
U113,2025-07-11,vpn,1
U113,2025-07-26,vpn,1
U113,2025-07-08,db_access,0
U114,2025-07-24,login,1
U114,2025-07-03,file_download,0
U114,2025-07-15,vpn,1
U115,2025-07-27,file_download,1
U115,2025-07-13,file_download,0
U115,2025-07-28,logout,1
U115,2025-07-23,vpn,0
U116,2025-07-08,vpn,0
U116,2025-07-18,logout,1
U116,2025-07-18,file_download,1
U117,2025-07-17,file_download,1
U117,2025-07-21,login,0
U117,2025-07-17,db_access,1
U117,2025-07-06,login,1
U117,2025-07-07,file_download,1
U118,2025-07-29,db_access,1
U118,2025-07-08,db_access,0
U119,2025-07-16,vpn,0
U119,2025-07-24,login,1
U120,2025-07-05,login,1
U120,2025-07-04,logout,0
U120,2025-07-22,vpn,0
U121,2025-07-03,vpn,0
U121,2025-07-27,vpn,0
U122,2025-07-21,logout,0
U122,2025-07-24,db_access,1
U122,2025-07-15,db_access,1
U122,2025-07-11,login,0
U122,2025-07-30,file_download,1
U123,2025-07-08,vpn,1
U123,2025-07-13,db_access,1
U123,2025-07-08,login,0
U124,2025-07-10,logout,0
U124,2025-07-11,login,1
U124,2025-07-20,vpn,0
U124,2025-07-23,login,1
U125,2025-07-21,vpn,0
U125,2025-07-12,file_download,1
U126,2025-07-30,vpn,0
U126,2025-07-08,vpn,1
U126,2025-07-15,logout,1
U126,2025-07-03,db_access,0
U127,2025-07-10,file_download,0
U127,2025-07-03,file_download,0
U127,2025-07-16,db_access,1
U127,2025-07-16,login,0
U127,2025-07-02,logout,0
U128,2025-07-03,logout,1
U128,2025-07-24,db_access,0
U128,2025-07-05,file_download,1
U129,2025-07-14,db_access,1
U129,2025-07-10,vpn,0
U129,2025-07-26,vpn,1
U130,2025-07-18,login,0
U130,2025-07-05,db_access,1
U130,2025-07-27,vpn,1
U130,2025-07-02,logout,1
U131,2025-07-25,logout,1
U131,2025-07-30,login,1
U132,2025-07-03,vpn,1
U132,2025-07-18,logout,1
U133,2025-07-03,login,1
U133,2025-07-20,db_access,0
U134,2025-07-23,logout,1
U134,2025-07-27,file_download,1
U134,2025-07-12,logout,0
U135,2025-07-06,vpn,0
U135,2025-07-19,db_access,0
U136,2025-07-23,login,0
U136,2025-07-08,file_download,0
U136,2025-07-22,db_access,0
U137,2025-07-22,login,0
U137,2025-07-28,vpn,1
U138,2025-07-22,file_download,1
U138,2025-07-11,file_download,1
U138,2025-07-16,vpn,0
U138,2025-07-14,file_download,1
U138,2025-07-27,logout,1
U139,2025-07-20,logout,0
U139,2025-07-15,logout,1
U140,2025-07-16,vpn,0
U140,2025-07-21,file_download,0
U141,2025-07-01,vpn,0
U141,2025-07-14,logout,0
U142,2025-07-16,logout,0
U142,2025-07-14,db_access,1
U142,2025-07-13,db_access,1
U143,2025-07-02,logout,0
U143,2025-07-03,file_download,0
U143,2025-07-28,login,0
U143,2025-07-22,login,0
U144,2025-07-17,logout,1
U144,2025-07-02,vpn,0
U144,2025-07-26,db_access,1
U144,2025-07-16,vpn,0
U144,2025-07-14,db_access,0
U145,2025-07-30,vpn,1
U145,2025-07-02,vpn,0
U145,2025-07-03,vpn,1
U145,2025-07-02,login,1
U145,2025-07-26,file_download,0
U146,2025-07-15,vpn,0
U146,2025-07-26,db_access,0
U147,2025-07-10,file_download,0
U147,2025-07-11,db_access,0
U147,2025-07-11,logout,0
U148,2025-07-23,db_access,0
U148,2025-07-16,vpn,0
U148,2025-07-01,vpn,0
U149,2025-07-21,login,1
U149,2025-07-29,file_download,1
U149,2025-07-02,db_access,1
U149,2025-07-10,login,1
U150,2025-07-24,vpn,1
U150,2025-07-15,login,0
U150,2025-07-27,file_download,0
U150,2025-07-18,vpn,1
U151,2025-07-18,db_access,1
U151,2025-07-07,logout,0
U151,2025-07-15,db_access,1
U151,2025-07-15,logout,1
U152,2025-07-29,logout,0
U152,2025-07-30,vpn,1
U152,2025-07-14,vpn,1
U153,2025-07-16,logout,0
U153,2025-07-28,logout,0
U153,2025-07-13,vpn,0
U153,2025-07-08,logout,0
U153,2025-07-24,db_access,0
U154,2025-07-14,logout,1
U154,2025-07-30,file_download,0
U155,2025-07-15,vpn,0
U155,2025-07-10,vpn,1
U156,2025-07-11,vpn,1
U156,2025-07-13,db_access,1
U157,2025-07-26,db_access,0
U157,2025-07-14,vpn,0
U157,2025-07-27,file_download,1
U158,2025-07-19,db_access,0
U158,2025-07-12,login,0
U159,2025-07-23,login,0
U159,2025-07-10,vpn,1
U159,2025-07-19,logout,1
U159,2025-07-08,file_download,0
U160,2025-07-09,logout,1
U160,2025-07-29,file_download,0
U160,2025-07-28,logout,1
U160,2025-07-27,logout,0
U161,2025-07-15,vpn,0
U161,2025-07-27,db_access,1
U162,2025-07-09,vpn,0
U162,2025-07-25,db_access,1
U163,2025-07-01,logout,0
U163,2025-07-08,logout,0
U163,2025-07-27,logout,1
U163,2025-07-28,file_download,1
U163,2025-07-07,vpn,1
U164,2025-07-16,login,0
U164,2025-07-26,logout,0
U165,2025-07-03,logout,1
U165,2025-07-04,logout,1
U165,2025-07-29,logout,0
U166,2025-07-02,vpn,1
U166,2025-07-16,logout,0
U167,2025-07-13,db_access,1
U167,2025-07-22,db_access,0
U167,2025-07-18,logout,1
U167,2025-07-16,vpn,1
U168,2025-07-21,logout,0
U168,2025-07-02,db_access,0
U168,2025-07-27,db_access,0
U169,2025-07-02,vpn,0
U169,2025-07-22,db_access,0
U169,2025-07-15,vpn,0
U169,2025-07-30,logout,1
U170,2025-07-12,vpn,1
U170,2025-07-10,db_access,0
U170,2025-07-09,login,1
U171,2025-07-06,logout,1
U171,2025-07-06,db_access,1
U171,2025-07-03,vpn,1
U171,2025-07-09,vpn,1
U171,2025-07-27,login,0
U172,2025-07-28,logout,0
U172,2025-07-14,login,0
U172,2025-07-09,file_download,0
U172,2025-07-28,logout,1
U172,2025-07-25,db_access,0
U173,2025-07-23,login,1
U173,2025-07-10,db_access,0
U174,2025-07-21,db_access,0
U174,2025-07-18,logout,1
U174,2025-07-17,logout,1
U174,2025-07-08,logout,1
U175,2025-07-24,vpn,0
U175,2025-07-03,login,1
U175,2025-07-06,vpn,1
U176,2025-07-16,login,1
U176,2025-07-11,logout,1
U176,2025-07-14,file_download,0
U176,2025-07-14,login,1
U177,2025-07-29,login,1
U177,2025-07-21,file_download,1
U177,2025-07-25,login,0
U178,2025-07-12,vpn,0
U178,2025-07-03,db_access,0
U179,2025-07-30,file_download,0
U179,2025-07-13,logout,0
U179,2025-07-20,vpn,1
U180,2025-07-05,vpn,0
U180,2025-07-27,file_download,0
U180,2025-07-28,login,1
U181,2025-07-16,vpn,0
U181,2025-07-26,vpn,1
U181,2025-07-18,login,1
U181,2025-07-24,vpn,0
U182,2025-07-28,vpn,1
U182,2025-07-18,login,1
U182,2025-07-11,vpn,0
U182,2025-07-13,db_access,0
U183,2025-07-03,login,0
U183,2025-07-04,file_download,1
U184,2025-07-28,vpn,1
U184,2025-07-27,login,0
U184,2025-07-20,vpn,1
U184,2025-07-25,vpn,1
U185,2025-07-03,vpn,1
U185,2025-07-15,login,1
U186,2025-07-27,login,1
U186,2025-07-26,file_download,0
U186,2025-07-08,file_download,0
U186,2025-07-12,db_access,0
U187,2025-07-05,login,1
U187,2025-07-10,logout,0
U188,2025-07-30,vpn,1
U188,2025-07-02,login,0
U189,2025-07-22,vpn,1
U189,2025-07-15,vpn,0
U190,2025-07-15,login,0
U190,2025-07-26,logout,1
U190,2025-07-27,logout,0
U190,2025-07-14,logout,0
U190,2025-07-06,login,1
U191,2025-07-20,vpn,0
U191,2025-07-04,db_access,1
U191,2025-07-20,login,0
U192,2025-07-25,file_download,0
U192,2025-07-30,db_access,0
U193,2025-07-09,login,0
U193,2025-07-18,file_download,0
U193,2025-07-14,login,1
U194,2025-07-14,db_access,1
U194,2025-07-24,file_download,1
U195,2025-07-04,vpn,0
U195,2025-07-03,db_access,0
U195,2025-07-21,file_download,0
U195,2025-07-15,vpn,1
U196,2025-07-16,db_access,0
U196,2025-07-30,logout,0
U196,2025-07-08,login,1
U196,2025-07-22,logout,1
U196,2025-07-25,db_access,1
U197,2025-07-22,logout,1
U197,2025-07-03,file_download,0
U197,2025-07-30,file_download,1
U198,2025-07-04,file_download,0
U198,2025-07-10,logout,0
U198,2025-07-14,file_download,0
U198,2025-07-15,db_access,0
U198,2025-07-22,db_access,0
U199,2025-07-07,file_download,1
U199,2025-07-06,db_access,1
U199,2025-07-21,logout,1
U199,2025-07-04,db_access,1
U200,2025-07-15,logout,0
U200,2025-07-16,db_access,0
U200,2025-07-10,login,0
U200,2025-07-03,vpn,1
U200,2025-07-17,vpn,1
U201,2025-07-21,logout,1
U201,2025-07-21,logout,0
U201,2025-07-01,file_download,1
U201,2025-07-22,logout,1
U202,2025-07-05,logout,0
U202,2025-07-15,login,0
U202,2025-07-05,vpn,1
U202,2025-07-13,vpn,0
U202,2025-07-30,db_access,0
U203,2025-07-08,vpn,0
U203,2025-07-07,logout,1
U203,2025-07-23,login,1
U203,2025-07-02,logout,0
U204,2025-07-09,login,1
U204,2025-07-05,logout,0
U205,2025-07-27,login,1
U205,2025-07-21,logout,0
U205,2025-07-15,db_access,0
U205,2025-07-02,logout,0
U206,2025-07-30,vpn,0
U206,2025-07-17,vpn,1
U207,2025-07-05,logout,1
U207,2025-07-02,vpn,0
U207,2025-07-24,login,1
U208,2025-07-27,vpn,0
U208,2025-07-22,login,1
U208,2025-07-21,file_download,0
U208,2025-07-15,file_download,0
U208,2025-07-18,login,1
U209,2025-07-16,vpn,1
U209,2025-07-20,logout,1
U210,2025-07-12,vpn,1
U210,2025-07-06,login,0
U210,2025-07-20,logout,1
U210,2025-07-28,db_access,1
U210,2025-07-09,logout,0
U211,2025-07-25,logout,0
U211,2025-07-15,db_access,0
U211,2025-07-16,file_download,0
U212,2025-07-08,vpn,0
U212,2025-07-05,file_download,1
U213,2025-07-19,db_access,0
U213,2025-07-08,db_access,1
U213,2025-07-13,logout,1
U213,2025-07-26,db_access,0
U214,2025-07-08,vpn,0
U214,2025-07-01,file_download,1
U215,2025-07-17,db_access,1
U215,2025-07-17,file_download,1
U216,2025-07-01,db_access,0
U216,2025-07-16,db_access,1
U216,2025-07-23,logout,0
U217,2025-07-10,logout,0
U217,2025-07-01,file_download,0
U217,2025-07-01,logout,0
U217,2025-07-27,db_access,1
U218,2025-07-13,login,0
U218,2025-07-04,vpn,1
U218,2025-07-09,vpn,0
U218,2025-07-29,login,0
U218,2025-07-06,db_access,0
U219,2025-07-22,login,1
U219,2025-07-20,vpn,1
U219,2025-07-08,db_access,0
U220,2025-07-06,login,1
U220,2025-07-23,login,0
U220,2025-07-01,file_download,0
U220,2025-07-11,logout,0
U221,2025-07-30,login,0
U221,2025-07-10,vpn,0
U221,2025-07-26,logout,1
U221,2025-07-20,file_download,1
U221,2025-07-04,vpn,1
U222,2025-07-15,login,1
U222,2025-07-15,file_download,1
U222,2025-07-25,logout,1
U223,2025-07-10,vpn,0
U223,2025-07-10,logout,1
U223,2025-07-26,vpn,1
U223,2025-07-20,login,1
U223,2025-07-02,logout,0
U224,2025-07-14,vpn,0
U224,2025-07-21,db_access,1
U225,2025-07-10,vpn,1
U225,2025-07-04,login,1
U225,2025-07-29,login,1
U225,2025-07-23,logout,0
U225,2025-07-05,logout,1
U226,2025-07-18,db_access,1
U226,2025-07-24,db_access,0
U226,2025-07-25,login,0
U226,2025-07-19,logout,1
U227,2025-07-05,login,0
