user_id,date,avg_sentiment,neg_msg_count,off_hours_count,total_actions,anomaly,anomaly_score
U103,2025-07-18,-0.68,1,1,1,0,-0.12656868625473494
U106,2025-07-12,-0.48,0,1,1,0,-0.10443039033570967
U108,2025-07-24,-0.9,1,0,1,0,-0.0712506263142264
U109,2025-07-30,-0.38,0,1,1,0,-0.17833399858714527
U110,2025-07-08,-0.82,1,0,1,0,-0.09794453365086009
U111,2025-07-20,0.63,0,1,1,0,-0.17016846441255318
U114,2025-07-15,0.38,0,1,1,0,-0.19468586941581478
U117,2025-07-06,0.3,0,1,1,0,-0.19686018865867239
U120,2025-07-22,-0.54,1,0,1,0,-0.1079212015556299
U121,2025-07-27,-0.45,0,0,1,0,-0.04957307686301804
U123,2025-07-08,-0.75,1,1,2,1,0.07460750319347909
U125,2025-07-12,-0.74,1,1,1,0,-0.11313989813876268
U126,2025-07-30,0.97,0,0,1,1,0.04326254968478371
U128,2025-07-05,-0.38,0,1,1,0,-0.17833399858714527
U136,2025-07-22,-0.78,1,0,1,0,-0.13371574583980772
U136,2025-07-23,-0.27,0,0,1,0,-0.1633274745793551
U138,2025-07-14,0.64,0,1,1,0,-0.15849982866706158
U139,2025-07-15,-0.05,0,1,1,0,-0.165498374433939
U142,2025-07-16,0.95,0,0,1,0,-0.012659854107711088
U148,2025-07-01,-0.32,0,0,1,0,-0.16118048956541292
U150,2025-07-27,0.42,0,0,1,0,-0.16680588337048785
U153,2025-07-28,-0.57,1,0,1,0,-0.11755912981528582
U154,2025-07-30,-0.57,1,0,1,0,-0.11755912981528582
U156,2025-07-11,0.64,0,1,1,0,-0.15849982866706158
U159,2025-07-16,-0.615,1,1,1,0,-0.11786284393364532
U159,2025-07-19,-0.04,0,1,1,0,-0.16435218159396914
U167,2025-07-13,0.85,0,1,1,1,0.03677262907130696
U171,2025-07-03,0.57,0,1,1,0,-0.16812238723374107
U171,2025-07-09,-0.06,0,1,1,0,-0.17229258156754879
U174,2025-07-08,-0.15,0,1,1,0,-0.18366621303128738
U178,2025-07-12,-0.64,1,0,1,0,-0.13802667938658214
U182,2025-07-18,0.65,0,1,1,0,-0.1637470875124158
U187,2025-07-10,-0.89,1,0,1,0,-0.09274004524005697
U190,2025-07-26,-0.46,0,1,1,0,-0.1569769174264658
U191,2025-07-04,-0.1099999999999999,1,1,1,1,0.024413605339597577
U196,2025-07-22,-0.03,0,1,1,0,-0.1657691593117246
U198,2025-07-15,0.41,0,0,1,0,-0.1524377885534659
U202,2025-07-15,-0.43,1,0,1,1,0.021269555283794817
U205,2025-07-02,-0.76,1,0,1,0,-0.14081310682032688
U207,2025-07-05,0.1,0,1,1,0,-0.1931719883103606
U208,2025-07-21,0.11,0,0,1,0,-0.15392522366574796
U208,2025-07-22,-0.06,0,1,1,0,-0.17229258156754879
U217,2025-07-10,0.65,0,0,1,0,-0.1410573390616271
U218,2025-07-06,0.74,0,0,1,0,-0.12274620060611735
U218,2025-07-29,0.7,0,0,1,0,-0.14120005690329168
U220,2025-07-01,-0.665,1,0,1,0,-0.14565305503285225
U221,2025-07-04,-0.86,1,1,1,0,-0.056250475748920836
U221,2025-07-10,-0.13,0,0,1,0,-0.15107997431960107
U226,2025-07-24,0.11,0,0,1,0,-0.15392522366574796
U232,2025-07-22,-0.3,0,0,1,0,-0.1585654265478324
U233,2025-07-07,0.27,0,1,1,0,-0.19410423414789107
U234,2025-07-08,0.58,0,1,1,0,-0.17781378207483373
U237,2025-07-24,-0.65,1,1,1,0,-0.12549512172084326
U237,2025-07-28,-0.72,1,1,1,0,-0.11660127751953403
U239,2025-07-25,-0.55,1,1,1,0,-0.0747402762238818
U242,2025-07-11,-0.02,0,0,1,0,-0.16311949323906894
U243,2025-07-05,0.48,0,1,1,0,-0.16876441398016617
U246,2025-07-09,-0.24,0,1,1,0,-0.17622118500936385
U246,2025-07-24,0.64,0,1,1,0,-0.15849982866706158
U260,2025-07-23,0.73,0,1,1,0,-0.07667197729589559
U261,2025-07-22,-0.42,0,1,1,0,-0.17579179969677772
U264,2025-07-04,0.08,0,1,1,0,-0.19556081082765447
U266,2025-07-18,0.7,0,0,1,0,-0.14120005690329168
U268,2025-07-11,0.25,0,1,1,0,-0.19054258849021827
U269,2025-07-17,0.68,0,0,2,1,0.12650272255859685
U275,2025-07-16,0.57,0,1,1,0,-0.16812238723374107
U275,2025-07-30,-0.57,1,2,2,1,0.12551441477452263
U276,2025-07-18,-0.94,1,1,1,1,0.008439902738474059
U279,2025-07-03,0.24,0,0,1,0,-0.16731907768015264
U279,2025-07-04,0.3999999999999999,0,0,1,0,-0.1693663065001172
U280,2025-07-07,0.36,0,1,1,0,-0.1919672247515623
U280,2025-07-13,0.55,0,1,1,0,-0.17351698820244132
U289,2025-07-13,-0.33,0,1,1,0,-0.1788341204082226
U292,2025-07-25,-0.09,0,1,1,0,-0.18810143904793541
U297,2025-07-16,0.19,0,0,1,0,-0.17171226145272284
