user_id,timestamp,resource,action
U110,2025-07-20 08:08:00,customer_db.sql,edit
U126,2025-07-22 18:26:00,confidential.doc,edit
U116,2025-07-23 13:46:00,confidential.doc,view
U122,2025-07-25 11:29:00,customer_db.sql,view
U122,2025-07-25 16:31:00,customer_db.sql,view
U115,2025-07-20 20:45:00,password_file.txt,access
U128,2025-07-21 11:48:00,password_file.txt,edit
U102,2025-07-23 16:47:00,payroll_data.xlsx,download
U120,2025-07-20 17:20:00,server_config,download
U111,2025-07-24 19:12:00,password_file.txt,access
U116,2025-07-20 10:13:00,customer_db.sql,download
U116,2025-07-20 08:54:00,server_config,edit
U120,2025-07-20 13:01:00,employee_list.csv,download
U123,2025-07-20 13:21:00,server_config,view
U116,2025-07-20 18:55:00,product_docs.zip,view
U106,2025-07-20 13:54:00,server_config,access
U124,2025-07-20 18:10:00,customer_db.sql,download
U103,2025-07-25 11:15:00,payroll_data.xlsx,access
U125,2025-07-20 17:19:00,payroll_data.xlsx,access
U117,2025-07-24 17:12:00,server_config,access
U115,2025-07-23 22:32:00,password_file.txt,view
U120,2025-07-22 20:16:00,payroll_data.xlsx,access
U110,2025-07-23 10:02:00,password_file.txt,access
U113,2025-07-24 16:32:00,server_config,access
U105,2025-07-20 08:09:00,server_config,access
U113,2025-07-23 10:13:00,product_docs.zip,edit
U124,2025-07-20 13:26:00,customer_db.sql,download
U111,2025-07-21 16:06:00,server_config,download
U125,2025-07-24 17:34:00,server_config,download
U107,2025-07-23 12:03:00,customer_db.sql,edit
U105,2025-07-20 08:29:00,server_config,download
U120,2025-07-24 13:25:00,customer_db.sql,download
U121,2025-07-20 16:25:00,server_config,access
U124,2025-07-24 17:05:00,customer_db.sql,access
U119,2025-07-24 13:12:00,password_file.txt,download
U129,2025-07-25 12:59:00,team_meeting_notes.docx,edit
U112,2025-07-24 22:40:00,payroll_data.xlsx,access
U117,2025-07-24 09:39:00,confidential.doc,access
U126,2025-07-22 19:09:00,server_config,download
U124,2025-07-23 13:41:00,server_config,view
U103,2025-07-24 13:05:00,customer_db.sql,download
U109,2025-07-23 20:24:00,confidential.doc,access
U119,2025-07-24 12:33:00,password_file.txt,access
U104,2025-07-23 13:20:00,payroll_data.xlsx,download
U113,2025-07-25 19:46:00,product_docs.zip,download
U102,2025-07-23 22:32:00,server_config,view
U129,2025-07-21 17:37:00,confidential.doc,download
U125,2025-07-20 11:54:00,password_file.txt,view
U120,2025-07-21 21:25:00,password_file.txt,edit
U127,2025-07-22 18:59:00,server_config,access
U107,2025-07-20 10:50:00,server_config,access
U104,2025-07-21 11:41:00,team_meeting_notes.docx,download
U115,2025-07-20 17:19:00,customer_db.sql,access
U125,2025-07-21 16:26:00,team_meeting_notes.docx,access
U105,2025-07-23 17:29:00,payroll_data.xlsx,access
U120,2025-07-23 16:52:00,server_config,edit
U109,2025-07-22 17:43:00,employee_list.csv,edit
U120,2025-07-21 18:35:00,customer_db.sql,edit
U106,2025-07-25 22:37:00,confidential.doc,edit
U110,2025-07-20 19:53:00,payroll_data.xlsx,edit
U125,2025-07-22 20:48:00,server_config,access
U116,2025-07-24 15:11:00,payroll_data.xlsx,access
U110,2025-07-22 15:27:00,confidential.doc,access
U116,2025-07-23 12:19:00,payroll_data.xlsx,download
U112,2025-07-25 18:52:00,customer_db.sql,download
U115,2025-07-20 17:37:00,confidential.doc,edit
U110,2025-07-22 19:11:00,payroll_data.xlsx,access
U123,2025-07-25 11:24:00,customer_db.sql,download
U110,2025-07-20 11:32:00,server_config,access
U125,2025-07-22 16:57:00,hr_policy.pdf,download
U125,2025-07-20 12:23:00,customer_db.sql,download
U107,2025-07-25 13:32:00,payroll_data.xlsx,view
U120,2025-07-24 14:39:00,password_file.txt,access
U115,2025-07-25 08:35:00,customer_db.sql,download
U115,2025-07-20 08:31:00,password_file.txt,download
U117,2025-07-20 21:25:00,customer_db.sql,access
U125,2025-07-21 21:28:00,confidential.doc,view
U122,2025-07-20 15:33:00,server_config,download
U104,2025-07-23 13:38:00,customer_db.sql,view
U108,2025-07-25 20:46:00,server_config,edit
U115,2025-07-20 11:32:00,payroll_data.xlsx,view
U115,2025-07-23 15:06:00,payroll_data.xlsx,edit
U115,2025-07-23 13:00:00,server_config,download
U120,2025-07-23 13:06:00,confidential.doc,edit
U116,2025-07-24 09:25:00,payroll_data.xlsx,view
U121,2025-07-25 11:51:00,product_docs.zip,view
U105,2025-07-23 10:45:00,customer_db.sql,access
U121,2025-07-21 14:04:00,customer_db.sql,edit
U120,2025-07-20 16:11:00,payroll_data.xlsx,view
U129,2025-07-20 14:34:00,payroll_data.xlsx,download
U110,2025-07-24 18:25:00,server_config,download
U102,2025-07-24 20:27:00,server_config,edit
U103,2025-07-23 14:28:00,confidential.doc,edit
U115,2025-07-23 10:21:00,server_config,access
U129,2025-07-25 14:59:00,payroll_data.xlsx,view
U116,2025-07-25 08:36:00,payroll_data.xlsx,download
U120,2025-07-23 11:35:00,confidential.doc,view
U114,2025-07-23 17:07:00,customer_db.sql,view
U115,2025-07-23 13:49:00,server_config,access
