user_id,timestamp,resource,action,hour,off_hours
U120,2025-07-25 12:29:00,customer_db.sql,access,12,False
U109,2025-07-22 13:34:00,password_file.txt,edit,13,False
U105,2025-07-25 13:19:00,payroll_data.xlsx,access,13,False
U126,2025-07-21 08:34:00,customer_db.sql,edit,8,False
U117,2025-07-25 22:05:00,payroll_data.xlsx,edit,22,True
U113,2025-07-25 20:40:00,password_file.txt,download,20,False
U110,2025-07-23 16:25:00,customer_db.sql,access,16,False
U119,2025-07-24 16:46:00,payroll_data.xlsx,access,16,False
U108,2025-07-25 18:59:00,customer_db.sql,download,18,False
U110,2025-07-21 08:48:00,server_config,download,8,False
U119,2025-07-24 13:58:00,hr_policy.pdf,download,13,False
U109,2025-07-21 22:16:00,product_docs.zip,edit,22,True
U113,2025-07-21 14:43:00,payroll_data.xlsx,edit,14,False
U123,2025-07-25 12:03:00,password_file.txt,view,12,False
U103,2025-07-22 11:36:00,server_config,access,11,False
U125,2025-07-20 22:56:00,confidential.doc,view,22,True
U127,2025-07-23 17:23:00,password_file.txt,view,17,False
U105,2025-07-20 16:24:00,server_config,edit,16,False
U126,2025-07-25 17:45:00,payroll_data.xlsx,access,17,False
U102,2025-07-23 18:38:00,password_file.txt,download,18,False
U115,2025-07-25 08:15:00,customer_db.sql,edit,8,False
U110,2025-07-25 18:14:00,employee_list.csv,view,18,False
U118,2025-07-25 11:29:00,server_config,view,11,False
U110,2025-07-24 11:49:00,payroll_data.xlsx,view,11,False
U105,2025-07-22 18:15:00,customer_db.sql,download,18,False
U112,2025-07-21 20:53:00,confidential.doc,access,20,False
U110,2025-07-22 16:09:00,confidential.doc,edit,16,False
U123,2025-07-21 08:29:00,confidential.doc,download,8,False
U125,2025-07-25 11:10:00,server_config,edit,11,False
U120,2025-07-25 19:28:00,customer_db.sql,download,19,False
U129,2025-07-25 11:13:00,password_file.txt,download,11,False
U101,2025-07-23 18:07:00,password_file.txt,download,18,False
U110,2025-07-25 12:37:00,customer_db.sql,view,12,False
U129,2025-07-22 17:04:00,customer_db.sql,edit,17,False
U125,2025-07-21 21:21:00,server_config,download,21,True
U124,2025-07-22 11:25:00,password_file.txt,download,11,False
U120,2025-07-22 16:56:00,payroll_data.xlsx,view,16,False
U124,2025-07-21 09:11:00,server_config,access,9,False
U109,2025-07-25 15:51:00,customer_db.sql,download,15,False
U119,2025-07-21 09:11:00,password_file.txt,download,9,False
U111,2025-07-22 11:14:00,team_meeting_notes.docx,download,11,False
U108,2025-07-24 16:59:00,customer_db.sql,view,16,False
U102,2025-07-21 17:40:00,employee_list.csv,view,17,False
U123,2025-07-22 09:08:00,confidential.doc,view,9,False
U120,2025-07-25 20:08:00,confidential.doc,edit,20,False
U126,2025-07-23 10:46:00,server_config,download,10,False
U108,2025-07-20 14:40:00,customer_db.sql,view,14,False
U118,2025-07-23 14:22:00,server_config,view,14,False
U105,2025-07-25 13:41:00,server_config,edit,13,False
U112,2025-07-24 11:52:00,payroll_data.xlsx,download,11,False
U123,2025-07-21 20:22:00,employee_list.csv,view,20,False
U106,2025-07-24 08:31:00,payroll_data.xlsx,download,8,False
U110,2025-07-20 08:30:00,server_config,access,8,False
U128,2025-07-24 15:05:00,payroll_data.xlsx,edit,15,False
U116,2025-07-24 18:14:00,confidential.doc,access,18,False
U120,2025-07-24 13:58:00,payroll_data.xlsx,view,13,False
U114,2025-07-20 13:33:00,product_docs.zip,access,13,False
U117,2025-07-23 10:35:00,confidential.doc,download,10,False
U127,2025-07-22 09:52:00,customer_db.sql,download,9,False
U110,2025-07-25 15:10:00,product_docs.zip,access,15,False
U121,2025-07-24 14:29:00,payroll_data.xlsx,download,14,False
U128,2025-07-24 10:42:00,customer_db.sql,view,10,False
U125,2025-07-21 12:17:00,payroll_data.xlsx,download,12,False
U120,2025-07-24 22:31:00,customer_db.sql,download,22,True
U110,2025-07-21 17:37:00,confidential.doc,edit,17,False
U120,2025-07-23 19:39:00,payroll_data.xlsx,view,19,False
U113,2025-07-23 11:36:00,confidential.doc,access,11,False
U110,2025-07-25 20:00:00,payroll_data.xlsx,download,20,False
U110,2025-07-20 20:01:00,password_file.txt,edit,20,False
U130,2025-07-25 10:43:00,confidential.doc,access,10,False
U120,2025-07-21 22:35:00,payroll_data.xlsx,view,22,True
U104,2025-07-25 20:42:00,confidential.doc,edit,20,False
U113,2025-07-25 16:38:00,confidential.doc,download,16,False
U127,2025-07-21 14:23:00,payroll_data.xlsx,view,14,False
U114,2025-07-25 09:06:00,customer_db.sql,view,9,False
U126,2025-07-21 12:45:00,customer_db.sql,download,12,False
U102,2025-07-22 11:04:00,password_file.txt,access,11,False
U108,2025-07-20 12:13:00,payroll_data.xlsx,view,12,False
U118,2025-07-25 18:16:00,employee_list.csv,download,18,False
U120,2025-07-24 13:43:00,customer_db.sql,download,13,False
U105,2025-07-20 09:29:00,confidential.doc,view,9,False
U104,2025-07-22 08:29:00,customer_db.sql,view,8,False
U105,2025-07-21 21:05:00,payroll_data.xlsx,access,21,True
U123,2025-07-21 22:51:00,product_docs.zip,access,22,True
U113,2025-07-22 19:28:00,password_file.txt,view,19,False
U120,2025-07-25 20:23:00,confidential.doc,view,20,False
U115,2025-07-20 17:40:00,password_file.txt,download,17,False
U106,2025-07-21 17:43:00,payroll_data.xlsx,edit,17,False
U126,2025-07-24 18:49:00,server_config,download,18,False
U116,2025-07-21 22:24:00,confidential.doc,access,22,True
U105,2025-07-25 19:55:00,customer_db.sql,access,19,False
U116,2025-07-24 21:22:00,password_file.txt,view,21,True
U110,2025-07-21 21:00:00,customer_db.sql,edit,21,True
U123,2025-07-24 17:08:00,employee_list.csv,access,17,False
U125,2025-07-25 08:41:00,confidential.doc,access,8,False
U115,2025-07-20 22:51:00,customer_db.sql,access,22,True
U115,2025-07-25 09:33:00,payroll_data.xlsx,edit,9,False
U126,2025-07-23 20:12:00,payroll_data.xlsx,view,20,False
U125,2025-07-25 16:03:00,hr_policy.pdf,access,16,False
U103,2025-07-22 12:51:00,password_file.txt,access,12,False
U115,2025-07-21 20:39:00,payroll_data.xlsx,access,20,False
U105,2025-07-20 16:45:00,server_config,download,16,False
U122,2025-07-21 17:53:00,payroll_data.xlsx,download,17,False
U102,2025-07-23 22:59:00,payroll_data.xlsx,view,22,True
U111,2025-07-20 17:43:00,confidential.doc,view,17,False
U110,2025-07-21 22:32:00,customer_db.sql,edit,22,True
U117,2025-07-25 10:35:00,customer_db.sql,access,10,False
U120,2025-07-23 08:12:00,employee_list.csv,view,8,False
U120,2025-07-20 22:47:00,team_meeting_notes.docx,view,22,True
U115,2025-07-21 16:39:00,payroll_data.xlsx,access,16,False
U125,2025-07-25 13:32:00,payroll_data.xlsx,view,13,False
U103,2025-07-24 19:07:00,hr_policy.pdf,access,19,False
U106,2025-07-23 11:00:00,customer_db.sql,view,11,False
U113,2025-07-25 10:07:00,payroll_data.xlsx,access,10,False
U130,2025-07-25 14:28:00,customer_db.sql,edit,14,False
U116,2025-07-21 16:24:00,product_docs.zip,view,16,False
U102,2025-07-25 13:17:00,hr_policy.pdf,download,13,False
U127,2025-07-25 18:37:00,employee_list.csv,view,18,False
U112,2025-07-20 09:23:00,employee_list.csv,edit,9,False
U112,2025-07-22 11:18:00,confidential.doc,access,11,False
U107,2025-07-22 09:37:00,payroll_data.xlsx,access,9,False
U109,2025-07-24 20:13:00,hr_policy.pdf,edit,20,False
U110,2025-07-23 20:35:00,product_docs.zip,view,20,False
U120,2025-07-22 15:25:00,confidential.doc,access,15,False
U123,2025-07-20 22:49:00,product_docs.zip,access,22,True
U115,2025-07-24 09:19:00,payroll_data.xlsx,edit,9,False
U114,2025-07-22 22:48:00,server_config,edit,22,True
U106,2025-07-20 11:35:00,payroll_data.xlsx,view,11,False
U113,2025-07-22 16:57:00,customer_db.sql,download,16,False
U120,2025-07-25 08:45:00,password_file.txt,download,8,False
U108,2025-07-22 09:25:00,payroll_data.xlsx,edit,9,False
U105,2025-07-20 12:54:00,server_config,edit,12,False
U120,2025-07-21 09:38:00,employee_list.csv,edit,9,False
U128,2025-07-21 09:42:00,confidential.doc,edit,9,False
U101,2025-07-25 18:35:00,password_file.txt,edit,18,False
U105,2025-07-24 19:52:00,payroll_data.xlsx,access,19,False
U129,2025-07-22 16:00:00,confidential.doc,edit,16,False
U110,2025-07-23 08:24:00,password_file.txt,access,8,False
U130,2025-07-20 14:06:00,employee_list.csv,access,14,False
U110,2025-07-21 21:45:00,confidential.doc,download,21,True
U120,2025-07-22 16:02:00,server_config,download,16,False
U115,2025-07-20 08:07:00,server_config,download,8,False
U125,2025-07-25 08:08:00,hr_policy.pdf,view,8,False
U102,2025-07-24 16:17:00,team_meeting_notes.docx,view,16,False
U105,2025-07-20 21:57:00,payroll_data.xlsx,access,21,True
U120,2025-07-20 21:17:00,password_file.txt,view,21,True
U110,2025-07-24 16:52:00,password_file.txt,view,16,False
U122,2025-07-20 11:26:00,server_config,access,11,False
U126,2025-07-23 12:48:00,hr_policy.pdf,view,12,False
U105,2025-07-22 09:54:00,confidential.doc,download,9,False
U109,2025-07-22 15:37:00,password_file.txt,edit,15,False
U110,2025-07-25 14:02:00,password_file.txt,access,14,False
U117,2025-07-25 19:12:00,employee_list.csv,download,19,False
U114,2025-07-22 13:46:00,hr_policy.pdf,access,13,False
U105,2025-07-22 14:26:00,server_config,download,14,False
U103,2025-07-22 20:30:00,password_file.txt,edit,20,False
U122,2025-07-21 18:26:00,hr_policy.pdf,edit,18,False
U125,2025-07-23 20:07:00,confidential.doc,download,20,False
U110,2025-07-20 14:51:00,confidential.doc,view,14,False
U127,2025-07-20 10:27:00,customer_db.sql,access,10,False
U109,2025-07-24 16:55:00,employee_list.csv,access,16,False
